GPName,ReviewText
Upper Tooting Road Medical Centre,"The staff are so polite and kind, always ready to go above and beyond to try and help with appointment bookings and chasing referrals for me. All of the Doctors are very thorough in their consultations with me, making sure I receive the best care. They are very respectful and professional at all times. A special shout out has to go to the Practice Manager is very attentive too, as you can see that she works very hard and is very knowledgeable on the NHS - she was happy to answer all of my questions."
Upper Tooting Road Medical Centre,"Prepare to be an hour and a bit on a call listening to ""You are first in the queue"" (looks like they all are just having lunch). And then your problem is still not sorted. in and out of the surgery and pharmacy for a week and the doctor still didn't find time to sign the prescription!!"
Upper Tooting Road Medical Centre,"This is the most brilliant doctor’s surgery… all the doctors I have ever seen are excellent. Always kind, thorough and understanding.
It is a fantastically well run practice with incredibly patient and hard working admin staff. Thank you to the wonderful team at Upper Tooting Surgery!"
St Johns Hill Surgery,"Very inconsiderate staff and GPs. Twice they called me to their practice and upon reaching on time, they made me wait for like 45 mins. 

Above all, their reception staff is so buzy on call that they don't give a damn about the people waiting for their appointment.

Their availability is so much poor that you will get your appointment after a week or month. Never ever register yourself here. Disappointed to see that I'm paying so much tax for surgeries like this and not even getting proper treatment and availability."
Beckett House Practice,"The receptionist is always polite and friendly no matter what. It is not a huge wait on the phone normally either.

Good for people with autism or anxiety. The doctor made me feel very safe and I felt very heard..I could tell she really wanted to hear me and she checked I understood and truly agreed or knew what I was agreeing to..for example she asked me to explain how I used my medication to her, she triple checked with me and asked me in a couple of ways to make sure I really got it. She gave me choices and made sure I was informed and it was incredibly good practice especially regarding informed consent. I got very stressed but she also handled that well. She is an excellent doctor for someone with autism and anxiety.

She also believed me about the side effects my meds has on me and explained why that was. She is one of very few doctors to do that (the other doctors who also listen work for your practice too). It's a good practice.

I felt she really thought about what she was prescribing and my medication..this is something Beckett house actually does very well. Beckett house stands out for not only reviewing meds but actually explaining how they work and helping someone make an Informed decision."
Beckett House Practice,"My GP sent me an online questionnaire on prostrate cancer. Followed instructions and my GP gave me a blood test form. I was amazed that on the day I did the test Tuesday 21s5 March at St. Thomas's, my GP called me up giving me a 12:30 appointment next day, Wednesday 22nd. Services have massively improved at Beckett House.
A very young locum doctor was a good  communicator. A good service."
Beckett House Practice,"Everyone I spoke to was very friendly, the appointment was professional and everything was done to make me feel comfortable with a rather uncomfortable issue I was having. Thank you all!"
Beckett House Practice,"I've been dealing with my condition for a couple of years now and have seen many doctors. I have been to see two doctors at Beckett House Practice in the last few months for tests and to discuss treatment and both have been wonderful. They were empathetic, thorough, considerate, and above all they truly listened to me. It can be upsetting dealing with an ongoing condition, but I truly feel like the doctors cared and will help me get to the bottom of this. They've been very reassuring and I'm very grateful. Thank you."
Beckett House Practice,"I tried to book an appointment over the phone &  the receptionist insisted if I didn't tell her ""the reason"" for the appointment she wasn't going to book the appointment even though I kept telling her that it's personal & would like to discuss it with my doctor. She also tried booking an appointment with another practice & cancelled it the next day & also booked me another appointment over the phone, after waiting for a call for 4 hours no body contacted me.

Previously I had completed an online consultation form but they never got back to me. The receptionist make it very difficult to book an appointment. This is the first time dealing with rude receptionist, I have been with this GP since 2011 but their customer service is not what it used to be.

I asked the receptionist on how I could make a formal complaint or if the could escalate the call but they're really not interested in giving the best patient care that they could give & improve their customer service. I have left my details for the management to contact me.

As a result of this terrible customer service experience, I've decided to change to another local GP.

Doctors are not the issue, some of the reception stuff are the main reason for my dissatisfaction."
Beckett House Practice,"I would highly recommend this GP practice. They are very supportive and responsive, and I feel very cared for. Great GP practice."
Beckett House Practice,"I have been with this practice for 11 years and they are excellent and attentive to patient needs. It’s easy to get an emergency appt, they are quick with referrals and respond to emails."
Beckett House Practice,"I've had a repeat prescription for 4 years now and this practice has never got it right. I've had to go down in person, mere days post operation to beg for the right thing to be sent to the right pharmacy. I've spoken to the manager, I've tried to talk to reception, I've even broken down on a doctor. So far the advice has been ""go elsewhere"". Absolutely shocking place."
Beckett House Practice,"All the Drs , Nurses and Reception staff are amazing. The Drs are incredibly attentive , and off unconditional positive regard as well as a professional disposition. The nurses are also just as professional. The reception team are fabulous, whenever I have called I am treated with the upmost respect and a friendly approachable tone . I have been a patient at Beckett  house for nearly 10 years , and I will never change practice."
Beckett House Practice,"All the staff treats patients with care. They are quick to assist and support looking after the patients. They take the time to listen and assist very promptly.
I would recommend anyone to join the practice."
The Grantham Centre Practice,"This is the best GP surgery I have been to - it's straightforward to get an appointment and they work hard to keep waiting times to a minimum. The reception staff are helpful and friendly, and the doctors I have seen there have been brilliant and reassuring."
The Grantham Centre Practice,"During a rapidly emerging appendicitis situation, the whole staff of the Grantham Centre were constantly concerned for my wellbeing and at all times were expert, professional and courteous.  Brilliant!"
The Grantham Centre Practice,Well I cannot complain.  You get appointment quickly.  The receptionist are friendly and helpful. The Doctors are the type of Doctors we need more of. Patients always come first here. And they always keep you informed of anything medical. They always have time for you. They also make sure you understand everything medical about you and sometimes they even help with social situations. They are there for you and yours
The Grantham Centre Practice,"I cannot begin to express how utterly incredible this GP practice is.  Loving, caring, warm, efficient, and 100% dedicated to the well being of its patients.  I have heard such horror stories from friends up and down the country about their experiences with their GP.
I am always only number 1 in the queue when I phone, and I can't sing the praises enough of the fabulous ladies at reception who are there to greet me on my arrival at the surgery.  They are simply amazing.  I am not a number, I am a person.  As I turn 70 I am fully confident that this wonderful team of doctors and admins will take the very best care of me, and for this reason I 
consider myself truly blessed and am deeply grateful."
The Grantham Centre Practice,"I had a cough that got a lot worse as days went by; I explained to Dr. I need to travel for work and need antibiotics for the chest infection. For some weird reason, I went to the pharmacy and he had failed to submit a prescription; I am coughing my lungs out but need to get on with my life, very primitive, peniciline is there to help people get better, use it."
